scheme_code,scheme_name,date,nav,plan_type
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-06-16,10.8,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-06-17,10.76,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-06-18,10.71,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-06-21,10.72,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-06-22,10.76,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-06-23,10.74,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-06-24,10.81,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-06-25,10.88,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-06-28,10.92,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-06-29,10.88,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-06-30,10.89,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-07-01,10.92,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-07-02,11.01,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-07-05,11.11,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-07-06,11.1,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-07-07,11.12,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-07-08,11.08,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-07-09,11.1,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-07-12,11.16,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-07-13,11.21,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-07-14,11.25,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-07-15,11.28,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-07-16,11.33,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-07-19,11.24,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-07-20,11.15,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-07-22,11.28,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-07-23,11.31,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-07-26,11.32,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-07-27,11.3,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-07-28,11.34,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-07-29,11.4,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-07-30,11.45,Regular
